pokemon,rank,count,n,percent
Absol,219,5761,1883573,0.003058548832458312
Articuno,220,5717,1883573,0.0030351889732970266
Togetic,221,5596,1883573,0.002970949360603491
Trevenant,222,5595,1883573,0.002970418454713462
Passimian,223,5442,1883573,0.002889189853538992
Lycanroc,224,5426,1883573,0.0028806953592985245
Magmortar,225,5405,1883573,0.002869546335607911
Rhydon,226,5391,1883573,0.002862113653147502
Vaporeon,227,5353,1883573,0.002841939229326392
Toxicroak,228,5327,1883573,0.0028281356761856325
Tornadus-Therian,229,5320,1883573,0.002824419334955428
Abomasnow,230,5303,1883573,0.0028153939348249312
Golisopod,231,5288,1883573,0.002807430346474493
Mandibuzz,232,5169,1883573,0.002744252545561016
Sandaconda,233,5147,1883573,0.0027325726159803734
Jynx,234,5126,1883573,0.00272142359228976
Aromatisse,235,5123,1883573,0.002719830874619672
Virizion,236,5099,1883573,0.0027070891332589713
Clawitzer,237,5051,1883573,0.002681605650537569
Spiritomb,238,5047,1883573,0.002679482026977452
Marowak,239,5046,1883573,0.002678951121087423
Haxorus,240,5018,1883573,0.0026640857561666047
Drednaw,241,4974,1883573,0.002640725897005319
Sirfetch'd,242,4924,1883573,0.0026141806025038582
Glaceon,243,4844,1883573,0.002571708131301521
Lurantis,244,4835,1883573,0.0025669299782912582
Chansey,245,4785,1883573,0.0025403846837897975
Mr. Rime,246,4491,1883573,0.002384298352121208
Leafeon,247,4476,1883573,0.0023763347637707696
Quagsire,248,4464,1883573,0.002369963893090419
Walrein,249,4454,1883573,0.002364654834190127
Perrserker,250,4440,1883573,0.0023572221517297177
Decidueye,251,4419,1883573,0.0023460731280391042
Dusknoir,252,4331,1883573,0.0022993534097165333
Corsola-Galar,253,4255,1883573,0.002259004562074313
Lycanroc-Dusk,254,4247,1883573,0.0022547573149540793
Silvally,255,4196,1883573,0.0022276811145625895
Darmanitan,256,4162,1883573,0.002209630314301596
Starmie,257,4151,1883573,0.0022037903495112747
Cherrim,258,4142,1883573,0.002199012196501012
Musharna,259,4129,1883573,0.0021921104199306317
Crawdaunt,260,4080,1883573,0.0021660960313192004
Polteageist,261,4040,1883573,0.0021448597957180317
Cinccino,262,4033,1883573,0.002141143454487827
Copperajah,263,4029,1883573,0.00213901983092771
Appletun,264,3983,1883573,0.0021145981599863663
Seaking,265,3976,1883573,0.002110881818756162
Audino,266,3895,1883573,0.0020678784416637954
Dugtrio,267,3800,1883573,0.00201744238211102
Shiftry,268,3770,1883573,0.0020015152054101435
Eldegoss,269,3735,1883573,0.0019829334992591207
Rotom-Frost,270,3723,1883573,0.00197656262857877
Roserade,271,3723,1883573,0.00197656262857877
Altaria,272,3686,1883573,0.0019569191106476895
Turtonator,273,3661,1883573,0.0019436464633969589
Armaldo,274,3656,1883573,0.0019409919339468129
Kabutops,275,3645,1883573,0.0019351519691564914
Cursola,276,3628,1883573,0.0019261265690259947
Drapion,277,3626,1883573,0.0019250647572459363
Lopunny,278,3570,1883573,0.0018953340274043002
Slowking,279,3554,1883573,0.0018868395331638327
Poliwrath,280,3553,1883573,0.0018863086272738036
Golurk,281,3553,1883573,0.0018863086272738036
Morpeko,282,3545,1883573,0.0018820613801535698
Tangrowth,283,3521,1883573,0.0018693196387928686
Pangoro,284,3449,1883573,0.0018310944147107652
Wigglytuff,285,3393,1883573,0.0018013636848691291
Kingler,286,3370,1883573,0.0017891528493984572
Tentacruel,287,3369,1883573,0.0017886219435084279
Blissey,288,3356,1883573,0.0017817201669380481
Mr. Mime-Galar,289,3339,1883573,0.0017726947668075515
Pyukumuku,290,3310,1883573,0.0017572984959967042
Eiscue,291,3306,1883573,0.0017551748724365874
Heracross,292,3297,1883573,0.0017503967194263243
Exeggutor-Alola,293,3254,1883573,0.0017275677661550682
Charjabug,294,3169,1883573,0.0016824407655025848
Frosmoth,295,3147,1883573,0.001670760835921942
Greedent,296,3127,1883573,0.0016601427181213576
Cloyster,297,3028,1883573,0.0016075830350084652
Cryogonal,298,2969,1883573,0.0015762595874967416
Galvantula,299,2924,1883573,0.0015523688224454268
Rapidash-Galar,300,2774,1883573,0.0014727329389410445
Gourgeist-Super,301,2707,1883573,0.0014371622443090871
Carracosta,302,2697,1883573,0.001431853185408795
Beartic,303,2683,1883573,0.0014244205029483859
Hitmonlee,304,2674,1883573,0.001419642349938123
Slurpuff,305,2658,1883573,0.0014111478556976555
Grapploct,306,2638,1883573,0.001400529737897071
Qwilfish,307,2619,1883573,0.001390442525986516
Flygon,308,2552,1883573,0.0013548718313545587
Golduck,309,2550,1883573,0.0013538100195745002
Lanturn,310,2468,1883573,0.0013102757365921044
Claydol,311,2459,1883573,0.0013054975835818416
Flapple,312,2405,1883573,0.001276828665520264
Scolipede,313,2393,1883573,0.0012704577948399133
Flareon,314,2377,1883573,0.0012619633005994458
Wishiwashi,315,2361,1883573,0.0012534688063589785
Bouffalant,316,2268,1883573,0.0012040945585862614
Mantine,317,2263,1883573,0.0012014400291361152
Klinklang,318,2240,1883573,0.0011892291936654433
Avalugg,319,2212,1883573,0.0011743638287446253
Exeggutor,320,2206,1883573,0.00117117839340445
Shiinotic,321,2157,1883573,0.0011451640047930184
Bewear,322,2137,1883573,0.001134545886992434
Sigilyph,323,2105,1883573,0.0011175568985114992
Miltank,324,2026,1883573,0.0010756153331991911
Garbodor,325,2008,1883573,0.0010660590271786652
Dedenne,326,1986,1883573,0.0010543790975980226
Xatu,327,1985,1883573,0.0010538481917079933
Vileplume,328,1942,1883573,0.001031019238436737
Falinks,329,1933,1883573,0.001026241085426474
Emolga,330,1874,1883573,0.0009949176379147502
Gourgeist-Small,331,1828,1883573,0.0009704959669734064
Octillery,332,1779,1883573,0.0009444815783619748
Maractus,333,1749,1883573,0.0009285544016610983
Dubwool,334,1708,1883573,0.0009067872601699005
Torracat,335,1674,1883573,0.0008887364599089072
Linoone,336,1528,1883573,0.0008112241999646417
Skarmory,337,1503,1883573,0.0007979515527139113
Ninjask,338,1479,1883573,0.0007852098113532101
Koffing,339,1477,1883573,0.0007841479995731517
Cramorant,340,1475,1883573,0.0007830861877930933
Gothorita,341,1410,1883573,0.0007485773049411942
Lycanroc-Midnight,342,1398,1883573,0.0007422064342608436
Lickilicky,343,1312,1883573,0.000696548527718331
Hitmonchan,344,1310,1883573,0.0006954867159382727
Mawile,345,1282,1883573,0.0006806213510174546
Rotom-Fan,346,1231,1883573,0.0006535451506259646
Sharpedo,347,1188,1883573,0.0006307161973547083
Jigglypuff,348,1162,1883573,0.0006169126442139487
Exploud,349,1140,1883573,0.0006052327146333059
Piloswine,350,1078,1883573,0.0005723165494514946
Crustle,351,1072,1883573,0.0005691311141113193
Scyther,352,1067,1883573,0.0005664765846611732
Rapidash,353,1057,1883573,0.000561167525760881
Magneton,354,1054,1883573,0.0005595748080907934
Doublade,355,1010,1883573,0.0005362149489295079
Haunter,356,1008,1883573,0.0005351531371494495
Dragonair,357,998,1883573,0.0005298440782491573
Mr. Mime,358,993,1883573,0.0005271895487990113
Skuntank,359,986,1883573,0.0005234732075688068
Beheeyem,360,951,1883573,0.0005048915014177842
Tangela,361,949,1883573,0.0005038296896377257
Wailord,362,909,1883573,0.0004825934540365571
Unfezant,363,907,1883573,0.0004815316422564987
Magmar,364,892,1883573,0.00047356805390606045
Dunsparce,365,875,1883573,0.00046454265377556377
Bellossom,366,859,1883573,0.0004560481595350963
Glalie,367,855,1883573,0.0004539245359749795
Persian,368,839,1883573,0.00044543004173451203
Wobbuffet,369,723,1883573,0.000383844958491123
Dugtrio-Alola,370,717,1883573,0.0003806595231509477
Noctowl,371,702,1883573,0.00037269593480050944
Dottler,372,690,1883573,0.00036632506412015886
Eevee,373,687,1883573,0.0003647323464500712
Sawk,374,666,1883573,0.0003535833227594577
Druddigon,375,665,1883573,0.0003530524168694285
Delibird,376,642,1883573,0.0003408415813987565
Sudowoodo,377,611,1883573,0.00032438349880785085
Stunfisk-Galar,378,599,1883573,0.0003180126281275002
Basculin,379,572,1883573,0.0003036781690967114
Barbaracle,380,572,1883573,0.0003036781690967114
Slowpoke-Galar,381,550,1883573,0.00029199823951606867
Wartortle,382,505,1883573,0.00026810747446475396
Type: Null,383,497,1883573,0.00026386022734452026
Gourgeist-Large,384,497,1883573,0.00026386022734452026
Metang,385,451,1883573,0.0002394385564031763
Marill,386,444,1883573,0.00023572221517297178
Relicanth,387,436,1883573,0.00023147496805273805
Ponyta,388,431,1883573,0.00022882043860259198
Silvally-Steel,389,425,1883573,0.0002256350032624167
Lunatone,390,419,1883573,0.0002224495679222414
Ponyta-Galar,391,409,1883573,0.00021714050902194924
Throh,392,404,1883573,0.00021448597957180317
Thwackey,393,402,1883573,0.00021342416779174473
Silvally-Ground,394,393,1883573,0.00020864601478148178
Silvally-Fire,395,389,1883573,0.00020652239122136493
Gourgeist,396,364,1883573,0.00019324974397063452
Bronzor,397,358,1883573,0.00019006430863045923
Slowpoke,398,354,1883573,0.00018794068507034238
Whiscash,399,345,1883573,0.00018316253206007943
Electabuzz,400,338,1883573,0.00017944619082987492
Heatmor,401,318,1883573,0.0001688280730292906
Stunfisk,402,313,1883573,0.00016617354357914454
Solrock,403,309,1883573,0.00016404992001902766
Farfetch'd,404,306,1883573,0.00016245720234894003
Silvally-Fairy,405,303,1883573,0.00016086448467885237
Morgrem,406,291,1883573,0.0001544936139985018
Meowth,407,280,1883573,0.0001486536492081804
Silvally-Electric,408,280,1883573,0.0001486536492081804
Azurill,409,268,1883573,0.00014228277852782983
Silvally-Water,410,266,1883573,0.0001412209667477714
Brionne,411,258,1883573,0.00013697371962753766
Squirtle,412,257,1883573,0.00013644281373750844
Mime Jr.,413,255,1883573,0.00013538100195745003
Pinsir,414,255,1883573,0.00013538100195745003
Magikarp,415,252,1883573,0.00013378828428736237
Togepi,416,249,1883573,0.0001321955666172747
Purrloin,417,246,1883573,0.00013060284894718708
Sandshrew,418,245,1883573,0.00013007194305715786
Trapinch,419,243,1883573,0.00012901013127709942
Silvally-Ghost,420,239,1883573,0.00012688650771698257
Rotom,421,233,1883573,0.00012370107237680728
Cleffa,422,228,1883573,0.0001210465429266612
Lickitung,423,228,1883573,0.0001210465429266612
Vespiquen,424,217,1883573,0.00011520657813633982
Foongus,425,202,1883573,0.00010724298978590158
Zweilous,426,199,1883573,0.00010565027211581394
Silvally-Ice,427,199,1883573,0.00010565027211581394
Fletchinder,428,198,1883573,0.00010511936622578472
Mudkip,429,186,1883573,9.874849554543412e-05
Vulpix-Alola,430,185,1883573,9.821758965540492e-05
Drakloak,431,185,1883573,9.821758965540492e-05
Sealeo,432,179,1883573,9.503215431522962e-05
Combusken,433,179,1883573,9.503215431522962e-05
Sandslash,434,178,1883573,9.450124842520041e-05
Golbat,435,173,1883573,9.184671897505433e-05
Gurdurr,436,170,1883573,9.025400130496668e-05
Lairon,437,155,1883573,8.229041295452844e-05
Onix,438,151,1883573,8.016678939441158e-05
Pichu,439,148,1883573,7.857407172432393e-05
Spheal,440,144,1883573,7.645044816420707e-05
Silvally-Grass,441,136,1883573,7.220320104397334e-05
Ivysaur,442,132,1883573,7.007957748385647e-05
Silvally-Flying,443,130,1883573,6.901776570379805e-05
Cottonee,444,127,1883573,6.74250480337104e-05
Corsola,445,125,1883573,6.636323625365196e-05
Gothita,446,124,1883573,6.583233036362276e-05
Spritzee,447,123,1883573,6.530142447359354e-05
Solosis,448,121,1883573,6.42396126935351e-05
Klang,449,114,1883573,6.05232714633306e-05
Raboot,450,113,1883573,5.999236557330138e-05
Sobble,451,112,1883573,5.9461459683272165e-05
Silvally-Poison,452,111,1883573,5.8930553793242946e-05
Duosion,453,107,1883573,5.680693023312609e-05
Poipole,454,107,1883573,5.680693023312609e-05
Torchic,455,105,1883573,5.5745118453067656e-05
Pumpkaboo-Super,456,104,1883573,5.5214212563038436e-05
Linoone-Galar,457,100,1883573,5.309058900292157e-05
Snom,458,98,1883573,5.2028777222863146e-05
Drizzile,459,96,1883573,5.0966965442804714e-05
Silvally-Dark,460,95,1883573,5.0436059552775495e-05
Lileep,461,92,1883573,4.884334188268785e-05
Herdier,462,88,1883573,4.6719718322570985e-05
Gloom,463,87,1883573,4.618881243254177e-05
Munchlax,464,87,1883573,4.618881243254177e-05
Vulpix,465,86,1883573,4.565790654251255e-05
Litten,466,82,1883573,4.353428298239569e-05
Poliwhirl,467,81,1883573,4.3003377092366476e-05
Hattrem,468,79,1883573,4.1941565312308043e-05
Diglett,469,79,1883573,4.1941565312308043e-05
Machoke,470,78,1883573,4.141065942227883e-05
Mudbray,471,77,1883573,4.087975353224961e-05
Silvally-Fighting,472,76,1883573,4.03488476422204e-05
Wooloo,473,74,1883573,3.9287035862161966e-05
Tyrogue,474,73,1883573,3.875612997213275e-05
Porygon,475,71,1883573,3.769431819207432e-05
Arrokuda,476,71,1883573,3.769431819207432e-05
Grovyle,477,71,1883573,3.769431819207432e-05
Silvally-Rock,478,70,1883573,3.71634123020451e-05
Scraggy,479,70,1883573,3.71634123020451e-05
Scorbunny,480,69,1883573,3.663250641201589e-05
Dratini,481,68,1883573,3.610160052198667e-05
Magby,482,67,1883573,3.557069463195746e-05
Hippopotas,483,67,1883573,3.557069463195746e-05
Ferroseed,484,67,1883573,3.557069463195746e-05
Beldum,485,60,1883573,3.185435340175295e-05
Wooper,486,58,1883573,3.0792541621694515e-05
Lampent,487,57,1883573,3.02616357316653e-05
Psyduck,488,56,1883573,2.9730729841636083e-05
Shellos,489,54,1883573,2.866891806157765e-05
Lombre,490,52,1883573,2.7607106281519218e-05
Ralts,491,51,1883573,2.7076200391490002e-05
Snover,492,51,1883573,2.7076200391490002e-05
Goldeen,493,47,1883573,2.495257683137314e-05
Tympole,494,46,1883573,2.4421670941343925e-05
Zorua,495,45,1883573,2.389076505131471e-05
Grookey,496,45,1883573,2.389076505131471e-05
Bagon,497,45,1883573,2.389076505131471e-05
Exeggcute,498,43,1883573,2.2828953271256276e-05
Wimpod,499,42,1883573,2.229804738122706e-05
Fletchling,500,42,1883573,2.229804738122706e-05
Zigzagoon,501,42,1883573,2.229804738122706e-05
Gabite,502,42,1883573,2.229804738122706e-05
Lotad,503,41,1883573,2.1767141491197844e-05
Anorith,504,41,1883573,2.1767141491197844e-05
Marshtomp,505,40,1883573,2.123623560116863e-05
Nuzleaf,506,40,1883573,2.123623560116863e-05
Duskull,507,39,1883573,2.0705329711139415e-05
Caterpie,508,39,1883573,2.0705329711139415e-05
Rowlet,509,38,1883573,2.01744238211102e-05
Mantyke,510,37,1883573,1.9643517931080983e-05
Carkol,511,36,1883573,1.9112612041051767e-05
Treecko,512,36,1883573,1.9112612041051767e-05
Igglybuff,513,36,1883573,1.9112612041051767e-05
Boldore,514,35,1883573,1.858170615102255e-05
Drifloon,515,35,1883573,1.858170615102255e-05
Fraxure,516,35,1883573,1.858170615102255e-05
Skwovet,517,35,1883573,1.858170615102255e-05
Darumaka-Galar,518,34,1883573,1.8050800260993335e-05
Silvally-Psychic,519,34,1883573,1.8050800260993335e-05
Aron,520,32,1883573,1.6988988480934902e-05
Pawniard,521,32,1883573,1.6988988480934902e-05
Bonsly,522,32,1883573,1.6988988480934902e-05
Tirtouga,523,32,1883573,1.6988988480934902e-05
Hatenna,524,31,1883573,1.645808259090569e-05
Charmeleon,525,31,1883573,1.645808259090569e-05
Krokorok,526,31,1883573,1.645808259090569e-05
Hakamo-o,527,30,1883573,1.5927176700876474e-05
Pumpkaboo,528,28,1883573,1.4865364920818041e-05
Pancham,529,28,1883573,1.4865364920818041e-05
Pumpkaboo-Small,530,28,1883573,1.4865364920818041e-05
Blipbug,531,28,1883573,1.4865364920818041e-05
Growlithe,532,28,1883573,1.4865364920818041e-05
Drilbur,533,28,1883573,1.4865364920818041e-05
Natu,534,28,1883573,1.4865364920818041e-05
Sandshrew-Alola,535,27,1883573,1.4334459030788825e-05
Morelull,536,27,1883573,1.4334459030788825e-05
Seedot,537,26,1883573,1.3803553140759609e-05
Wynaut,538,26,1883573,1.3803553140759609e-05
Darumaka,539,26,1883573,1.3803553140759609e-05
Swirlix,540,25,1883573,1.3272647250730393e-05
Rufflet,541,25,1883573,1.3272647250730393e-05
Staryu,542,25,1883573,1.3272647250730393e-05
Metapod,543,25,1883573,1.3272647250730393e-05
Woobat,544,25,1883573,1.3272647250730393e-05
Combee,545,25,1883573,1.3272647250730393e-05
Phantump,546,24,1883573,1.2741741360701179e-05
Kadabra,547,24,1883573,1.2741741360701179e-05
Timburr,548,24,1883573,1.2741741360701179e-05
Sliggoo,549,24,1883573,1.2741741360701179e-05
Tyrunt,550,24,1883573,1.2741741360701179e-05
Whirlipede,551,23,1883573,1.2210835470671962e-05
Shellder,552,23,1883573,1.2210835470671962e-05
Feebas,553,23,1883573,1.2210835470671962e-05
Luxio,554,23,1883573,1.2210835470671962e-05
Kirlia,555,22,1883573,1.1679929580642746e-05
Silvally-Bug,556,22,1883573,1.1679929580642746e-05
Smoochum,557,22,1883573,1.1679929580642746e-05
Gastly,558,22,1883573,1.1679929580642746e-05
Nickit,559,22,1883573,1.1679929580642746e-05
Frillish,560,21,1883573,1.114902369061353e-05
Croagunk,561,21,1883573,1.114902369061353e-05
